"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"6_1044","'0007B8F200",43.94,183,"Summer",447,3.78282506695646
"6_1044","'0007BAB1B2",35.03,156,"Summer",447,3.5562048372094
"6_1044","'0007BADA51",30.58,109,"Summer",447,3.42034620050092
"6_1044","'0007BA951C",40.7,104,"Summer",447,3.70622809244855
"6_1044","'0007BA99D1",71.48,885,"Summer",447,4.26941769029123
"6_1044","'0007B9B532",37.26,97,"Summer",447,3.61792036517344
"6_1044","'0007BAC123",38.27,138,"Summer",447,3.64466629943761
"6_1044","'0007BAC661",43.94,123,"Summer",447,3.78282506695646
"6_1044","'0007BA983F",40.1,122,"Summer",447,3.69137633431252
"6_1044","'0007BAAFA7",38.88,159,"Summer",447,3.66047997959224
"6_1044","'0007BA9B57",79.18,356,"Summer",447,4.37172374167799
"6_1044","'0007BAA7A3",56.7,400,"Summer",447,4.03777421073371
"6_1044","'0007B8242A",37.87,153,"Summer",447,3.6341592419137
"6_1044","'0007BAE768",60.75,314,"Summer",447,4.10676708222066
"6_1044","'0007BADBDC",38.07,142,"Summer",447,3.63942657039441
"6_1044","'0007B95BC4",58.52,116,"Summer",447,4.06936857615192
"6_1044","'0007B9B3D9",40.5,138,"Summer",447,3.70130197411249
"6_1044","'0007BAB321",43.54,152,"Summer",447,3.7736800558064
"6_1044","'0007BAC6E7",27.14,152,"Summer",447,3.30100865440672
"6_1044","'0007BAC67E",32.6,138,"Summer",447,3.48431228837266
"6_1044","'0007B82787",32,160,"Summer",447,3.46573590279973
"6_1044","'0007B85122",44.35,157,"Summer",447,3.79211270875559
"6_1044","'0007B8299C",56.5,144,"Summer",447,4.0342406381524
"6_1044","'0007B9AD28",57.71,122,"Summer",447,4.05543046872288
"6_1044","'0007BAC099",30.78,142,"Summer",447,3.42686512841073
"6_1044","'0007BAF312",43.94,128,"Summer",447,3.78282506695646
"6_1044","'0007B1219C",93.56,432,"Summer",447,4.53860294171598
"6_1044","'0007B82412",38.48,183,"Summer",447,3.65013862579751
"6_1044","'0007B82D4C",69.26,401,"Summer",447,4.23786753897428
"6_1044","'0007B0D089",90.52,530,"Summer",447,4.50557082076534
"6_1044","'0007BAC273",55.69,392,"Summer",447,4.01980059760158
"6_1044","'0007BAAF5C",60.75,350,"Summer",447,4.10676708222066
"6_1044","'0007B8D1B0",74.72,332,"Summer",447,4.31374779392059
"6_1044","'0007BAD685",67.03,355,"Summer",447,4.20514028036987
"6_1044","'0007BAA9A5",99.63,351,"Summer",447,4.60146332405677
"6_1044","'0007BAC4B6",68.04,194,"Summer",447,4.22009576752766
"6_1044","'0007BADD5F",54.07,197,"Summer",447,3.99027950339391
"6_1044","'0007BAC57F",36.05,199,"Summer",447,3.58490686373096
"6_1044","'0007B82633",77.96,152,"Summer",447,4.35619587463936
"6_1044","'0007BADD19",76.14,167,"Autumn",447,4.33257375095435
"6_1044","'0007BADADB",80.8,332,"Autumn",447,4.39197696552705
"6_1044","'0007BAC0E3",60.95,188,"Autumn",447,4.11005385592728
"6_1044","'0007B83C1E",34.22,238,"Autumn",417,3.53281026846405
