"AGD.tail","life.repro.success","Density.DOB"
-0.439271396088173,15,176
-0.46911572578189,11,176
0.009950252380412,12,145
0.790572933605544,14,145
-0.349738407007022,0,176
0.339794582074129,4,87
0.0711956148306764,9,87
-0.0900497476195877,5,163
-0.079582736700739,2,176
0.62932757115528,2,163
0.13088427421811,19,176
0.560728603911827,0,145
-0.36911572578189,0,163
0.668082208705016,16,181
0.357615197786167,4,181
-0.539271396088173,9,145
-0.26911572578189,2,145
0.33088427421811,8,163
-0.206313660268795,17,176
-0.66911572578189,3,181
-0.440828099151003,12,87
-0.0392713960881728,0,176
-0.310983769457286,6,145
-0.27067242884472,0,145
-0.882696142826399,19,176
-0.349738407007022,0,176
-0.0334744943578142,25,180
0.308393549317582,14,87
0.0711956148306764,0,163
-0.448181703944191,4,145
0.0905729336055443,0,145
-0.151295110069852,5,176
-0.57067242884472,0,163
-0.291606450682418,3,163
-0.0780260336379085,8,163
-0.607870363331625,0,163
0.111506955443243,0,87
0.553374999118639,13,145
-0.300516758538437,8,160
-0.27067242884472,10,155
-0.409427066394456,5,181
-0.37067242884472,5,163
-0.079582736700739,1,145
0.0293275711552803,6,214
-0.210983769457286,0,214
0.689016230542714,10,206
-0.510983769457286,0,206
-0.527247682106494,3,145
-0.448181703944191,0,206
-0.560205417925871,6,214
0.160728603911827,0,145
0.790572933605544,14,145
-0.00051675853843672,13,206
1.78010592268669,0,206
0.183219328812355,3,214
-0.961762120988701,0,214
-0.109427066394456,3,214
-0.797403352412776,18,145
0.171195614830677,5,145
-0.190049747619588,2,145
-0.051295110069852,2,145
0.790572933605544,19,214
-0.681139439763569,2,145
-0.570586446740528,2,145
0.389016230542714,5,145
-0.619894077313305,0,145
-0.00787036333162537,17,145
-0.490049747619588,0,214
-0.260205417925871,7,145
0.0293275711552803,8,145
-0.209427066394456,6,145
0.0711956148306764,2,145
-0.160205417925871,0,214
-0.0675590227190594,11,145
-0.790049747619588,17,145
-0.26911572578189,10,214
-0.698960055475607,0,145
-0.246625000881361,14,233
-0.0974033524127763,15,214
0.769638911767846,15,145
1.07119561483068,11,206
1.19057293360554,0,206
-0.0377146930253423,0,214
0.968082208705016,5,206
0.0711956148306764,13,145
-0.390049747619588,1,226
0.62777086809245,5,226
1.00839354931758,1,256
-0.119894077313305,6,226
-0.748181703944192,11,206
0.33244097728094,1,233
-0.0900497476195877,8,206
-0.47067242884472,1,226
0.568082208705016,0,226
-0.0319177912949842,4,256
0.33244097728094,14,256
0.00839354931758195,0,233
-0.412540472520116,5,206
-0.00051675853843672,0,311
0.0680822087050159,2,233
-0.578026033637908,3,226
2.15181829605581,8,233
0.52932757115528,10,226
0.0308842742181103,5,226
0.0293275711552803,1,226
-0.388493044556757,10,206
0.480105922686695,5,256
0.672752317893507,12,206
0.299483241461563,1,256
0.669638911767846,9,206
-0.428804385169324,4,206
-0.700516758538437,8,226
0.408393549317582,3,206
-0.0570920118002105,13,214
-0.707870363331626,4,206
0.0308842742181103,11,206
-0.237714693025342,6,311
-0.0706724288447198,8,226
-0.478026033637908,0,256
-0.191606450682418,3,214
0.0994832414615629,14,233
-0.219894077313305,8,226
0.997926538398733,0,256
0.147148186867318,9,206
